YEAR;OBS_VALUE;CROP_LABEL;FREQ;INDICATOR;TIME_FORMAT;UNIT_MULT
2013;624119296.0;All Cropland;Annual;Low (<10%);Annual;Units
2013;656959872.0;Cereals;Annual;Low (<10%);Annual;Units
2013;139840.5938;Cocoa;Annual;Low to medium (10-20%);Annual;Units
2013;122654848.0;Maize;Annual;Low to medium (10-20%);Annual;Units
2013;5719637.5;Oil Palm;Annual;Medium to high (20-40%);Annual;Units
2013;66330.8203;Rubber;Annual;Arid & low water use;Annual;Units
2013;598627781.4;Maize;Annual;Total production;Annual;Units
2013;117509348.9;Oil Palm;Annual;Total production;Annual;Units
2013;56.0;Irrigated Agriculture;Annual;Percent to total in category;Annual;Units
2013;13.0;Oats;Annual;Percent to total in category;Annual;Units
2013;14.0;Rubber;Annual;Percent to total in category;Annual;Units
2013;210.0;Sugar Cane;Annual;Total water footprint (m3) per ton of production (Mekonnen and Hoekstra 2011);Annual;Units
2013;815577.0;Coffee;Annual;Low to medium (10-20%);Annual;Units
2013;72827264.0;Maize;Annual;Medium to high (20-40%);Annual;Units
2013;184482816.0;All Cropland;Annual;High (40-80%);Annual;Units
2013;3961452.25;Canola;Annual;High (40-80%);Annual;Units
2013;95598016.0;Maize;Annual;Extremely high (>80%);Annual;Units
2013;3542666.25;Sugar Crops;Annual;Arid & low water use;Annual;Units
2013;3168486.119;Cocoa;Annual;Total production;Annual;Units
2013;26307315.31;Oats;Annual;Total production;Annual;Units
2013;214108608.0;Sugar Cane;Annual;Low to medium (10-20%);Annual;Units
2013;62414048.0;Fruits;Annual;Low to medium (10-20%);Annual;Units
2013;276423680.0;Sugar Crops;Annual;Low to medium (10-20%);Annual;Units
2013;4262673.5;Oats;Annual;Medium to high (20-40%);Annual;Units
2013;376894080.0;Fodder Crops;Annual;Medium to high (20-40%);Annual;Units
2013;5441521.0;Oil Palm;Annual;Extremely high (>80%);Annual;Units
2013;100093224.0;Fruits;Annual;Extremely high (>80%);Annual;Units
2013;18811.1113;Cocoa;Annual;Arid & low water use;Annual;Units
