bigCityID,bigCity,bigCountryCode,CountryName
AT006,GRAZ,AT,Austria
AT007,INNSBRUCK,AT,Austria
AT014,LINZ,AT,Austria
AT016,SALZBURG,AT,Austria
AT022,WIEN,AT,Austria
ATAG_2-K1931629,Klagenfurt (Worthersee Ost),AT,Austria
ATAG_2-K1939997,Villach,AT,Austria
ATAG_3-11,Raum Schwechat (Schwechat-Mannsworth),AT,Austria
ATAG_3-119,Raum Krems (Krems-Weinzierl),AT,Austria
ATAG_3-449,Raum Wiener Neustadt (Wiener Neustadt-Lichtenworth),AT,Austria
ATAG_3-47,Raum St. Polten (Traismauer-Stollhofen),AT,Austria
ATAG_4-41812001,Wels und Umgebung,AT,Austria
ATAG_7-7930111,Strass/Zillertal (Achental-Inntal-Zillertal),AT,Austria
ATAG_8-Hofsteig,Hard (Region Hofsteig),AT,Austria
ATAG_8-Hohenems,Hohenems (Region Hohenems),AT,Austria
ATAG_8-Meiningen,Meiningen (Region Feldkirch),AT,Austria
BE004,ANTWERPEN,BE,Belgium
BE013,BRUGGE,BE,Belgium
BE014,BRUXELLES/BRUSSEL,BE,Belgium
BE015,CHARLEROI,BE,Belgium
BE022,GENT,BE,Belgium
BE034,LIEGE,BE,Belgium
BE044,MONS,BE,Belgium
BE2,OOSTENDE,BE,Belgium
BE310,WAVRE,BE,Belgium
BE324,MOUSCRON,BE,Belgium
BE325,LA LOUVIERE,BE,Belgium
BG003,BURGAS,BG,Bulgaria
BG013,PLEVEN,BG,Bulgaria
BG014,PLOVDIV,BG,Bulgaria
BG016,RUSE,BG,Bulgaria
BG019,SLIVEN,BG,Bulgaria
BG020,SOFIYA,BG,Bulgaria
BG021,STARA ZAGORA,BG,Bulgaria
BG022,DOBRICH,BG,Bulgaria
BG023,VARNA,BG,Bulgaria
BGAG51500 _00,Nesebar-Ravda-Slanchev bryag,BG,Bulgaria
BGAG55155 _00,Pazardzhik,BG,Bulgaria
CH_CITY_0230,Winterthur,CH,Switzerland
CH_CITY_0261,Zürich,CH,Switzerland
CH_CITY_0351,Bern,CH,Switzerland
CH_CITY_2701,Basel,CH,Switzerland
CH_CITY_5586,Lausanne,CH,Switzerland
CH_CITY_6621,Geneve,CH,Switzerland
CY001,NICOSIA,CY,Cyprus
CY005,LIMASSOL,CY,Cyprus
CZ003,BRNO,CZ,Czechia
CZ015,HRADEC KRALOVE,CZ,Czechia
CZ029,LIBEREC,CZ,Czechia
CZ039,OLOMOUC,CZ,Czechia
CZ042,OSTRAVA,CZ,Czechia
CZ046,PLZEN,CZ,Czechia
CZ047,PRAHA,CZ,Czechia
DE001,AACHEN,DE,Germany
DE025,AUGSBURG,DE,Germany
DE055,BERGISCH GLADBACH,DE,Germany
DE057,BERLIN,DE,Germany
DE059,BIELEFELD,DE,Germany
DE067,BOCHUM,DE,Germany
DE068,BONN,DE,Germany
DE072,BOTTROP,DE,Germany
DE076,BRAUNSCHWEIG,DE,Germany
DE077,BREMEN,DE,Germany
DE078,BREMERHAVEN,DE,Germany
DE093,CHEMNITZ,DE,Germany
DE098,COTTBUS,DE,Germany
DE103,DARMSTADT,DE,Germany
DE109,DESSAU,DE,Germany
DE119,DORTMUND,DE,Germany
DE121,DRESDEN,DE,Germany
DE123,DUISBURG,DE,Germany
DE126,DUESSELDORF,DE,Germany
DE144,ERFURT,DE,Germany
DE147,ERLANGEN,DE,Germany
DE151,ESSEN,DE,Germany
DE163,FRANKFURT AM MAIN,DE,Germany
DE167,FREIBURG IM BREISGAU,DE,Germany
DE187,GELSENKIRCHEN,DE,Germany
DE189,GERA,DE,Germany
DE204,GOETTINGEN,DE,Germany
DE216,HAGEN,DE,Germany
DE219,HALLE,DE,Germany
DE221,HAMBURG,DE,Germany
DE223,HAMM,DE,Germany
DE226,HANNOVER,DE,Germany
DE230,HEIDELBERG,DE,Germany
DE233,HEILBRONN,DE,Germany
DE244,HERNE,DE,Germany
DE250,HILDESHEIM,DE,Germany
DE267,JENA,DE,Germany
DE274,KARLSRUHE,DE,Germany
DE275,KASSEL,DE,Germany
DE283,KIEL,DE,Germany
DE287,KOBLENZ,DE,Germany
DE288,KOELN,DE,Germany
DE295,KREFELD,DE,Germany
DE314,LEIPZIG,DE,Germany
DE319,LEVERKUSEN,DE,Germany
DE331,LUEBECK,DE,Germany
DE336,LUDWIGSHAFEN AM RHEIN,DE,Germany
DE339,MAGDEBURG,DE,Germany
DE341,MAINZ,DE,Germany
DE342,MANNHEIM,DE,Germany
DE361,MOERS,DE,Germany
DE362,MONCHEN-GLADBACH,DE,Germany
DE369,MUELHEIM AN DER RUHR,DE,Germany
DE370,MUENCHEN,DE,Germany
DE372,MUENSTER,DE,Germany
DE387,NEUSS,DE,Germany
DE400,NURNBERG,DE,Germany
DE402,OBERHAUSEN,DE,Germany
DE407,OFFENBACH AM MAIN,DE,Germany
DE409,OLDENBURG,DE,Germany
DE412,OSNABRUECK,DE,Germany
DE417,PADERBORN,DE,Germany
DE423,PFORZHEIM,DE,Germany
DE431,POTSDAM,DE,Germany
DE443,RECKLINGHAUSEN,DE,Germany
DE444,REGENSBURG,DE,Germany
DE447,REMSCHEID,DE,Germany
DE461,ROSTOCK,DE,Germany
DE468,SAARBRUECKEN,DE,Germany
DE470,SALZGITTER,DE,Germany
DE490,SCHWERIN,DE,Germany
DE498,SIEGEN,DE,Germany
DE503,SOLINGEN,DE,Germany
DE526,STUTTGART,DE,Germany
DE538,ULM,DE,Germany
DE583,WIESBADEN,DE,Germany
DE591,WITTEN,DE,Germany
DE596,WOLFSBURG,DE,Germany
DE600,WUPPERTAL,DE,Germany
DE602,WUERZBURG,DE,Germany
DE607,ZWICKAU,DE,Germany
DEAG_BW1155100000016,Boblingen-Sindelfingen/KW 1,DE,Germany
DEAG_BW1175100000062,Goppingen,DE,Germany
DEAG_BW2165100000007,"Buhl und Umgebung,Vimbuch",DE,Germany
DEAG_BW2265100000005,"Bergstrasse,Weinheim",DE,Germany
DEAG_BW2265100000007,Schwetzingen-Ketsch,DE,Germany
DEAG_BW3355100000005,Konstanz,DE,Germany
DEAG_BW3365100000001,"Wieseverband,Weil am Rhein-Bandlegrund",DE,Germany
DEAG_BW4165100000066,Tubingen,DE,Germany
DEAG_BW4365100000025,"Mariatal,Ravensburg-Eschach-Langwiese",DE,Germany
DEAG_BYAB-K0022,Gemeinschaftsklaranlage Bayer. Untermain GmbH,DE,Germany
DEAG_BYHO-K0002,ZV Sachsische Saale,DE,Germany
DEAG_BYHO-K0089,Bayreuth,DE,Germany
DEAG_BYHO-K0180,Kulmbach,DE,Germany
DEAG_BYIN-K0003,ZV ZENTRALKLAERANLAGE INGOLSTADT,DE,Germany
