rcaCode,rcaRelatedSA,rcaRelatedSARemark,ReportNetEnvelopeFileId
SICM-SI5VT5,SICA-SI5VT5,catchmentOfSensitiveArea,60383
SICM-SI5VT6,SICA-SI5VT6,catchmentOfSensitiveArea,60383
IECM_SW_2001_0032,IETW_SW_2001_0032,,60306
IECM_EA_1994_0001,IERI_EA_1994_0001,,60306
IECM_SH_1994_0007,IELK_SH_1994_0007,,60306
IECM_SH_2010_0002,IERI_SH_2010_0002,,60306
IECM_SW_2004_0041,IETW_SW_2004_0041,,60306
IECM_SE_2001_0015,IERI_SE_2001_0015,,60306
IECM_EA_2001_0026,IETW_EA_2001_0026,,60306
PTCM01,PTRI01,,60309
PTCM02,PTRI02,,60309
PTCM03,PTLK03,,60309
PTCM04,PTLK04,,60309
PTCM05,PTLK05,,60309
PTCM06,PTLK06,,60309
PTCM07,PTRI07,,60309
PTCM08,PTLK08,,60309
PTCM09,PTLK09,,60309
PTCM10,PTTW10,,60309
PTCM11,PTRI11,,60309
PTCM12,PTRI12,,60309
PTCM13,PTTW13,,60309
PTCM14,PTRI14,,60309
PTCM15,PTTW15,,60309
PTCM16,PTTW16,,60309
PTCM17,PTTW17,,60309
PTCM18,PTTW18,,60309
PTCM19,PTLK19,,60309
PTCM20,PTLK20,,60309
PTCM21,PTLK21,,60309
PTCM22,PTLK22,,60309
PTCM23,PTTW23,,60309
PTCM24,PTTW24,,60309
PTCM25,PTTW25,,60309
ESCM1203,ESLK1203,,60330
ESCM1204,ESLK1204,,60330
ESCM1205,ESLK1205,,60330
ESCM1206,ESLK1206,,60330
ESCM1207,ESLK1207,,60330
ESCM1208,ESLK1208,,60330
ESCM1209,ESLK1209,,60330
ESCM1212,ESRI1212,,60330
ESCM1213,ESRI1213,,60330
ESCM1214,ESRI1214,,60330
ESCM1215,ESRI1215,,60330
ESCM1216,ESRI1216,,60330
ESCM1217,ESRI1217,,60330
ESCM1218,ESRI1218,,60330
ESCM1219,ESRI1219,,60330
ESCM1220,ESRI1220,,60330
ESCM1221,ESRI1221,,60330
ESCM1222,ESRI1222,,60330
ESCM1223,ESRI1223,,60330
ESCM1224,ESRI1224,,60330
ESCM2000,ESRI2000,,60330
ESCM2001,ESRI2001,,60330
ESCM2002,ESRI2002,,60330
ESCM2005,ESLK2005,,60330
ESCM2006,ESRI2006,,60330
ESCM2007,ESRI2007,,60330
ESCM2009,ESRI2009,,60330
ESCM2010,ESRI2010,,60330
ESCM2011,ESLK2011,,60330
ESCM2012,ESRI2012,,60330
ESCM2013,ESRI2013,,60330
ESCM2014,ESRI2014,,60330
ESCM2015,ESRI2015,,60330
ESCM2016,ESLK2016,,60330
ESCM2017,ESLK2017,,60330
ESCM2018,ESCA2018,,60330
ESCM2020,ESRI2020,,60330
