repCode,ReportNetEnvelopeFileId,repReportedPeriod,repReportPeriodID,repSituationAt,repVersion,rptMStateKey,repReferenceSystem
LU100,60304,2020,3534,20201231,20220430,LU,ETRS89
IE2020,60306,2020,3535,20201231,20220603,IE,ETRS89
EE2022,60305,2020,3536,20201231,20220630,EE,WGS-84
PT_2020,60309,2020,3537,20201231,20220608,PT,WGS-84
DE_UWWT_2020,60308,2020,3538,20201231,20220620,DE,WGS-84
NL2022,60313,2020,3540,20201231,20220516,NL,ETRS89
CY 2021 Art.15,60312,2020,3541,20201231,20220630,CY,WGS-84
CZ1,60311,2020,3542,20201231,20220427,CZ,ETRS89
FI2020,60310,2020,3543,20201231,20220627,FI,WGS-84
DK2020,60318,2020,3544,20201231,20220630,DK,WGS-84
IS2020,60317,2020,3545,20201231,20260630,IS,WGS-84
FR2020,60316,2020,3546,20201231,20220520,FR,WGS-84
LT-2020,60315,2020,3547,20201231,20220614,LT,WGS-84
AT_UWWTD_2020,60314,2020,3548,20201231,20220614,AT,ETRS89
SK8,60323,2020,3550,20201231,20220629,SK,WGS-84
LV008,60322,2020,3551,20201231,20220630,LV,WGS-84
IT008,60321,2020,3552,20201231,20220228,IT,ETRS89
BE-2020,60320,2020,3553,20201231,20220630,BE,ETRS89
HR_Art15_2020,60319,2020,3554,20201231,20220615,HR,ETRS89
MT,60331,2020,3555,20201231,20220630,MT,WGS-84
ES,60330,2020,3556,20201231,20220630,ES,ETRS89 + WGS-84
HU-91271CQ-2022a,60329,2020,3557,20201231,20220629,HU,WGS-84
RO08,60327,2020,3559,20201231,20220630,RO,ETRS89
EL_UWWTD_2022,60326,2020,3560,20201231,20220630,GR,ETRS89
PL03,60325,2020,3561,20201231,20220715,PL,WGS-84
BG2022,60338,2022,3562,20201231,20220302,BG,ETRS89 + WGS-84
SE369,60377,2020,3564,20201231,20220622,SE,WGS-84
SI-2022,60383,2020,3566,20201231,20200601,SI,ETRS89
