rptMStateKey,rptMStateValue,rptCulture,ReportNetEnvelopeFileId
LU,Luxembourg,,60304
IE,Ireland,en_IE,60306
EE,Estonia,et_EE,60305
PT,Portugal,pt-PT,60309
DE,,de-DE,60308
NL,Netherlands,nl-NL,60313
CY,Cyprus,el-CY,60312
CZ,Czech Republic,cs_CZ,60311
FI,Finland,fi_FI,60310
DK,Denmark,DK202,60318
IS,Iceland,UTF-8,60317
FR,France,fr-FR,60316
LT,Lithuania,,60315
AT,Austria,de-AT,60314
SK,Slovakia,UTF-8,60323
LV,Latvia,UTF-8,60322
IT,Italy,ASCII,60321
BE,Belgium,fr_BE,60320
BE,Belgium,nl_BE,60320
HR,Croatia,hr-HR,60319
MT,Malta,en-MT,60331
ES,Spain,es-ES,60330
HU,Hungary,hu-HU,60329
RO,Romania,ro-RO,60327
GR,Greece,el-GR,60326
PL,Poland,pl-PL,60325
BG,Bulgaria,en-GB,60338
SE,Sweden,Engli,60377
SI,Slovenia,sl-SI,60383
