ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
60369,IT008,IT18Q90000001545,Luzzi,,2.601,ERDF,20251231,20221231,20231231,,,,2.601,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001681,Maierato,,,,20251231,20221231,20231231,,,,6.3,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_150267_02,Gainesti,,,,20271231,20130101,20140101,2113,100,0,0.5,,,Construction of the collecting system; ,0.5,OF,Absence of collection and IAS,NC
60370,RO08,ROAG_22807,Garleni,fara receptie,,,20221231,20110101,20121231,6370,100,0,1.61,,,Extension of the collecting system; ,1.61,OF,low level of waste waters collection,NC
60370,RO08,ROAG_122677,Gheraesti,,0.28,EARDF,20271231,20170101,20191231,6674,100,0,0.28,,,Construction of the collecting system; ,,,Absence of collection and IAS,NC
60341,EL_UWWTD_2022,EL21200703,SYVOTA,,8.5,Cohesion fund (CF),20231231,20160219,20160219,5231,100,0,10,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL24100901,THESPIES,,1.3175,Cohesion fund (CF),20231231,20111231,20161231,3891,100,0,1.55,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL42201901,TINOS,,0.765,Cohesion fund (CF),20231231,20081231,20161231,7065,100,0,0.9,,,Construction of collecting system.,,,Absence of collecting system ,NC
60351,HR_Art17_2020,HRAG_0001025,Gradac,,1.94,CF,20321231,20281231,20290331,7552,,,3.14,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0101430,Gradec,,2.21,CF,20271231,20231231,20240331,2093,,,3.58,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60384,SI_2022_Art_17,SI01334,SI_AGG_AJDOVSČINA_2019_1334,,,,20181001,20150601,20150701,,,,0.316,,,Investicijsko vzdrževanje,,,Aglomeracija je preliminarno ocenjena kot skladna,C
60384,SI_2022_Art_17,SI14402,SI_AGG_APAČE_2019_14402,,,,20211201,20140101,20140101,,,,0.1065,,,Investicijsko vzdrževanje,,,Neustrezna opremljenost z javno kanalizacijo in/ali IAS ,NC
60384,SI_2022_Art_17,SI16466,SI_AGG_BOROVNICA_2019_16466,,2.435273,CF,20210101,20140101,20140101,,,,3.255619,,,"Izgradnja novega objekta, investicijsko vzdrževanje",,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI20543,SI_AGG_CELJE_2019_20543,,,,20231231,20100301,20130101,,,,1.107,,,Investicijsko vzdrževanje,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI05286,SI_AGG_CERKNICA_5286,,3.490456,CF,20211201,20160101,20160101,,,,3.940003,,,"Izgradnja novega objekta, investicijsko vzdrževanje",,,Neustrezna opremljenost z javno kanalizacijo in/ali IAS ,NC
60341,EL_UWWTD_2022,EL12202901,TRILOFO,,0.4675,Cohesion fund (CF),20231231,20111231,20161231,10654,100,0,0.55,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL14200809,TSARITSANI,,4.2755,Cohesion fund (CF),20231231,20161231,20161231,2015,100,0,5.03,,,Construction of collecting system.,,,Absence of collecting system ,NC
60351,HR_Art17_2020,HRAG_0007026,Gradište,,1.75,CF,20321231,20281231,20290331,2319,,,2.78,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0006029,Grubišno Polje,,0.4,"CF, ERDF",20321231,20281231,20290331,3422,,,3.1,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60370,RO08,ROAG_22754,Ghimes - Faget,,,,20271231,20110101,20120101,3583,100,0,1.97,,,Extension of the collecting system; ,1.97,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_26346,Gioseni,,,,20271231,20120101,20130101,3498,98,2,0.75,,,Extension of the collecting system; Construction / expansion of wastewater treatment plants,0.75,OF,Low collecting rate of the urban wastewater,NC
60369,IT008,IT18Q90000001546,Malvito ,,1.8,ERDF,20251231,20221231,20231231,,,,1.8,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001726,Mammola,,0.594,ERDF,20251231,20221231,20231231,,,,0.594,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001548,Mangone,,,,20251231,20221231,20231231,,,,0.2,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001615,Marcellinara,,0.75,ERDF,20251231,20221231,20231231,,,,0.75,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001663,Melissa ,Intervento da programmare,1,ERDF,20251231,20221231,20231231,,,,1,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_178938,Gologanu,,1.5,CF,20231231,20130101,20141231,3805,100,0,2.1,,,Extension of the collecting system,0.6,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_148925,Gramesti,,1.98,EARDF,20271231,20130101,20140101,2591,100,0,1.98,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60341,EL_UWWTD_2022,EL12200901,ASSIROS,,5.525,Cohesion fund (CF),20271231,20201231,20211231,2138,100,0,6.5,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL12600201,ALISTRATI,,0.68,Cohesion fund (CF),20271231,20201231,20211231,2515,100,0,0.8,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL12601401,NEO  PETRITSI,,1.105,Cohesion fund (CF),20271231,20201231,20211231,2590,100,0,1.3,,,Construction of collecting system.,,,Absence of collecting system ,NC
60351,HR_Art17_2020,HRAG_0004005,Gudci,,0.65,CF,20291231,20250630,20250731,2125,,,1.05,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60351,HR_Art17_2020,HRAG_0007027,Gunja,,4.43,CF,20321231,20281231,20290331,4592,,,7.17,,,building or renewal of the collecting system and/or IAS,,,zero connection to sewer network,C
60351,HR_Art17_2020,HRAG_0001027,Hvar,,0.24,CF,20321231,20281231,20290331,13527,,,0.39,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60384,SI_2022_Art_17,SI01867,SI_AGG_LOGATEC_2019_1867,,3.469901,CF,20200101,20130101,20130101,,,,4.820316,,,Investicijsko vzdrževanje,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI03806,SI_AGG_TRŽIČ _2019_3806,,,,20211231,20171001,20171001,,,,0.168621,,,Investicijsko vzdrževanje,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI00538,SI_AGG_LUCIJA_2019_538,,,,20151201,20130101,20130101,,,,0.6244,,,Investicijsko vzdrževanje,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI08203,SI_AGG_RAVNE NA KOROŠKEM_2019_8203,,3.746099,CF,20151001,20130901,20131101,,,,6.11692,,,Izgradnja novega objekta,,,Aglomeracija je preliminarno ocenjena kot skladna,C
60384,SI_2022_Art_17,SI05560,SI_AGG_RIBNICA_2019_5560,,,,20250101,20240101,20240101,,,,1.7,,,Izgradnja novega objekta,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60384,SI_2022_Art_17,SI03095,SI_AGG_RIHTAROVCI_2019_3095,,,,20220630,20130331,20140101,,,,3.786,,,"Izgradnja kanalizacije, investicijsko vzdrževanje",,,Aglomeracija je preliminarno ocenjena kot skladna,C
60341,EL_UWWTD_2022,EL2203030101,VERDIKOUSSA,,1.53,Cohesion fund (CF),20271231,20201231,20211231,2035,100,0,1.8,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL24100801,DISTOMO,,4.4285,Cohesion fund (CF),20231231,20181231,20191231,2184,100,0,5.21,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL30007901,KALAMOS,,7.1145,Cohesion fund (CF),20271231,20201231,20211231,2240,100,0,8.37,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL3903030701,NEA MANOLADA,,3.094,Cohesion fund (CF),20271231,20201231,20211231,2284,100,0,3.64,,,Construction of collecting system.,,,Absence of collecting system ,NC
60351,HR_Art17_2020,HRAG_0007060,Ilok,,0.36,CF,20321231,20281231,20290331,7617,,,0.67,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0002052,Imotski,,18.1,CF,20291231,20210325,20211001,17175,,,26.63,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,NC
60351,HR_Art17_2020,HRAG_0005017,Ivanec,,10.86,CF,20230919,20211107,20211108,8916,,,15.55,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60370,RO08,ROAG_148989,Granicesti,,,,20271231,20130101,20140101,2172,100,0,0.5,,,Construction of the collecting system; ,0.5,OF,Absence of collection and IAS,NC
60370,RO08,ROAG_122873,Grinties,,2.7,EARDF,20231231,20110101,20121231,2513,100,0,3.85,,,Extension of the collecting system; ,1.15,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_122917,Grumazesti,,4,CF,20231231,20110101,20121231,3663,100,0,4,,,Extension of the collecting system; ,,,Low collecting rate of the urban wastewater,NC
60369,IT008,IT18Q90000001664,Mesoraca,,0.184,ERDF,20251231,20221231,20231231,,,,0.184,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001731,Monasterace,,2.47,ERDF,20251231,20221231,20231231,,,,2.47,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001732,Montebello Jonico,,,,20251231,20221231,20231231,,,,3.096,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001650,Montepaone,,,,20251231,20221231,20231231,,,,0.5,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001552,Mormanno,,1.46,ERDF,20251231,20221231,20231231,,,,1.46,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60369,IT008,IT18Q90000001734,Oppido Mamertina,,3.981,ERDF,20251231,20221231,20231231,,,,3.981,,,Adeguamento e completamento dei sistemi di racolta,,,Rete fognaria da completare,NC
60370,RO08,ROAG_176310,Gugesti,,2.58,CF,20231231,20110101,20121231,6536,100,0,3.68,,,Extension of the collecting system,1.1,OF,Low collecting rate of the urban wastewater,NC
60370,RO08,ROAG_146593,Gura Humorului,,0,,20161231,20110101,20110101,16178,100,0,1.496989,,,No measures for compliance,,,Compliant,C
60370,RO08,ROAG_20616,Gura Vaii,,1.17,CF,20231231,20110101,20120630,6582,98,2,1.17,,,Construction of a new sewage treatment works,,,Absence of the collection systems and IAS,NC
60384,SI_2022_Art_17,SI10872,SI_AGG_VIČ_2019_10872,,,,20211231,20130101,20150101,,,,0.335947,,,Investicijsko vzdrževanje,,,Neustrezna opremljenost z javno kanalizacijo in/ali IAS ,NC
60384,SI_2022_Art_17,SI01307,SI_AGG_VIPAVA_2019_1307,,1.366,CF,20150801,20131001,20131101,,,,2.064,,,Izgradnja kanalizacije,,,Aglomeracija je preliminarno ocenjena kot vprašljivo skladna,C
60341,EL_UWWTD_2022,EL41200606,MYTILINII,,3.4,Cohesion fund (CF),20271231,20201231,20211231,2581,100,0,4,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL5301070101,KALLONI,,2.55,Cohesion fund (CF),20271231,20201231,20211231,2385,100,0,3,,,Construction of collecting system.,,,Absence of collecting system ,NC
60341,EL_UWWTD_2022,EL12200201,AGHIOS ATHANASSIOS,,,,20231231,20221231,20221231,4932,100,0,0.5,,,Construction of collecting system.,0.5,National Funds/TRITSIS,Absence of collecting system ,NC
60351,HR_Art17_2020,HRAG_0004037,Ivanić Grad,,17.91,CF,20250801,20221101,20221201,15598,,,27.23,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,C
60351,HR_Art17_2020,HRAG_0007029,Ivankovo,,1.18,CF,20221130,20181218,20190117,6922,,,1.67,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
60351,HR_Art17_2020,HRAG_0001031,Jadranovo,,0.47,CF,20321231,20281231,20290331,4178,,,0.94,,,building or renewal of the collecting system and/or IAS,,,partly connection to sewer network,PD
