ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
60370,,,,3500,20261231,20271231,20201231,20211231,2,2913,0,0.885936,,,Building of a new wastewater plant ,0.885936,National budget,lack of waste water treatment,NC,RO08,ROWP_68878_01,ROWP Salcioara
60370,,0.75,EARDF,8000,20261231,20271231,20151231,20161231,2,7350,0,1.25,,,Building of a new wastewater plant ,0.5,National budget,Absence of UWWTP,NC,RO08,ROWP_15750_01,ROWP Corbeni 
60370,,,,4500,20261231,20271231,20201231,20211231,2,3911,0,1.499,,,Building of a new wastewater plant ,1.499,OF,Absence of UWWTP,NC,RO08,ROWP_15910_01,ROWP Cosesti 
60358,-,1.11478,KEHOP,2204,20210531,20220531,20180301,20180501,3P,2330,,1.25875,,,new treatment plant,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB916,Nadasd - Szennyviztisztito Telep
60358,-,0,KEHOP,16000,20261231,20261231,20221201,20230201,3NP,18915,,0.45,,,new treatment plant,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AHZ803,Ocsa - Szennyviztisztito Telep
60358,-,1.12226,KEHOP,2560,20210731,20220731,20171101,20171201,3NP,2560,,1.2925,,,new treatment plant,,,-,NC,HU-91271CQ-2022a,HU-WWTP-AIB111,Okany - Szennyviztisztito Telep
60384,,0.293203,CF,2500,20191201,20201201,20151201,20161201,3NP,2111,,0.394945,,,Izgradnja čistilne naprave,,,Odsotnost čistilne naprave,NC,SI_2020_Art_17,SI_AGG_01518,SI_AGG_RENČNE_VZHOD_2019_1518
60384,,,,700,20191201,20201201,20241001,20161201,2,700,,1.034835,,,Izgradnja MKČN ,,,Nekaterih delov naselja ni smotrno priključiti na obstoječi sistem,NC,SI_2020_Art_17,SI_AGG_04115,SI_AGG_DOMŽALE_4115
60358,-,17.224692,KEHOP,160000,20220531,20230531,20180201,20190301,3NP,190000,,19.138548,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AHZ861,Pecs - Szennyviztisztito Telep
60358,-,1.615288,KEHOP,6584,20210731,20220731,20170801,20171001,3NP,6584,,1.78075,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB990,Pusztaszabolcs - Szennyviztisztito Telep
60358,-,1.034955,KEHOP,8528,20210430,20220430,20190501,20190901,3NP,8319,,1.14995,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIA865,Rabacsecseny - Szennyviztisztito Telep
60358,-,2.203498,KEHOP,2500,20211231,20221231,20180301,20180301,2,3265,,2.505838,,,treatment plant development,,,-,PD,HU-91271CQ-2022a,HU-WWTP-AIB234,Repcelak - Szennyviztisztito Telep 
