ReportNetEnvelopeFileId,flarepCode,soecCapacity,soecCode,soecEndYear,soecEUFunds,soecInvCol,soecInvIAS,soecInvTp,soecJobs,soecLenghtCoCs,soecLenghtSaCs,soecLenghtStCs,soecNumbIAS,soecOpCosts,soecPeriod,soecPop,soecStartYear,soecInvComments
60342,FRR1,96447928,FRUWWINV2025,20251231,,3624,,2221,36000,,,,,,EXP,69090000,20250101,Cf. note investissement France (pdf)
60342,FRR1,96447928,FRUWWINV2026,20261231,,3704,,2270,,,,,,,EXP,,20260101,Cf. note investissement France (pdf)
60342,FRR1,96447928,FRUWWINV2027,20271231,,3785,,2320,,,,,,,EXP,,20270101,Cf. note investissement France (pdf)
60363,FI2020ART17,6900000,FIUWWINV2018,20181231,,325,,55,,,,,,279,P,5520000,20180101,
60363,FI2020ART17,7000000,FIUWWINV2019,20191231,,329,,55,,,,,,279,P,5525000,20190101,
60363,FI2020ART17,7100000,FIUWWINV2020,20201231,,334,,55,,,,,,279,P,5534000,20200101,
60363,FI2020ART17,7200000,FIUWWINV2021,20211231,,338,,55,,,,,,279,P,5548000,20210101,
60363,FI2020ART17,7300000,FIUWWINV2022,20221231,,343,,55,,,,,,290,CU,5550000,20220101,
60363,FI2020ART17,7300000,FIUWWINV2023,20231231,,349,,55,,,,,,310,EXP,5550000,20230101,
60363,FI2020ART17,7300000,FIUWWINV2024,20241231,,356,,55,,,,,,330,EXP,5550000,20240101,
60363,FI2020ART17,7300000,FIUWWINV2025,20251231,,363,,55,,,,,,350,EXP,5550000,20250101,
60363,FI2020ART17,7300000,FIUWWINV2026,20261231,,370,,55,,,,,,370,EXP,5550000,20260101,
60340,PL03,19412162,PLUWWINV2020,20271231,,3620.38,,2569.01,,,,,,,EXP,,20200101,"Ordinance of the Prime Minister of December 18, 2019 at the exchange rate of the zloty against the euro constituting the conversion of the added value (Journal of Laws, item 2453)."
60341,EL_UWWTD_2022,15500000,EL_UWWTD_2022,20271231,1742.07,1421.78,,731.38,,,,,,,EXP,,20160101,"The VAT is not icluded. The investment's amount includes  the investmentsfor the not compliant situations and also the needs for renovation and  maintainance of theperformance of the whole system.  It must be noted that the 2020 report for Article 17 includes all the necessary funding for the completion of pending infrastructure for the country to be fully compliant to Directive 91/271/EEC. It does not refer to potential future needs for the extension/ replacement/ upgrading of existing infrastructure which operates in compliance with the provisions of the Directive. Besides, all the information included in article 17 xls concerns non-compliant agglomerations or agglomerations under pending deadlines that do not meet the UWWTD requirements and also treatment plants which are considered non-compliant or plants under pending implementation deadlines that do not meet the UWWTD requirements."
60342,FRR1,96447928,FRUWWINV2020,20201231,26.45378,3251,458.8,1992,30000,,,,2400000,,CU,67810000,20200101,Cf. note investissement France (pdf)
60342,FRR1,96447928,FRUWWINV2021,20211231,,3322,,2036,,,,,,,EXP,,20210101,Cf. note investissement France (pdf)
