rcaCode,rcaName,rcaEnvDom,rcaZType,rcaSpZTyp,rcaParameterN,rcaParameterP,rcaParameterM,rcaParameterOther,rcaArt58DateDesign,rcaDateArt58,rcaRemarks,rcaHyperlink,rcaBeginLife,rcaEndLife,ReportNetEnvelopeFileId
SICM-SI14VT97,VT Ljubljanica Zalog – Podgrad,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1616VT,VT Dreta,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1624VT,UVT Velenjsko jezero,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI162VT3,VT Paka povirje – Velenje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI162VT7,VT Paka Velenje – Skorno,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI162VT9,VT Paka Skorno – Šmartno,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI164VT3,VT Bolska Trojane – Kapla,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI164VT7,VT Bolska Kapla – Latkova vas,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1668VT,MPVT zadrževalnik Šmartinsko jezero,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI1688VT1,VT Hudinja povirje – Nova Cerkev,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1688VT2,VT Hudinja povirje Nova Cerkev  – sotočje z Voglajno,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI168VT3,MPVT zadrževalnik Slivniško jezero,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI168VT9,VT Voglajna zadrževalnik Slivniško jezero – Celje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1696VT,VT Gračnica,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI16VT17,VT Savinja povirje – Letuš,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI16VT70,VT Savinja Letuš – Celje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI16VT97,VT Savinja Celje – Zidani Most,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI172VT,VT Mirna,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI184VT1,VT Črmošnjičica,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI184VT2,VT Radeščica,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI186VT3,VT Temenica I,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI186VT5,VT Temenica II,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI186VT7,VT Prečna,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI188VT5,VT Radulja povirje – Klevevž,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI188VT7,VT Radulja Klevevž – Dobrava pri Škocjanu,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI18VT31,VT Krka povirje – Soteska,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI18VT77,VT Krka Soteska – Otočec,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI18VT97,VT Krka Otočec – Brežice,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI1922VT,VT Mestinjščica,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1924VT1,VT Bistrica povirje – Lesično,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1924VT2,VT Bistrica Lesično – Polje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI192VT1,VT Sotla Dobovec – Podčetrtek,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI192VT5,VT Sotla Podčetrtek – Ključ,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT137,VT Sava HE Moste – Podbrezje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT150,VT Sava Podbrezje – Kranj,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT170,MPVT Sava Mavčiče – Medvode,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT310,VT Sava Medvode – Podgrad,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT519,VT Sava Podgrad – Litija,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT557,VT  Sava Litija – Zidani Most,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT713,MPVT Sava Vrhovo – Boštanj,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT739,VT Sava Boštanj – Krško,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT913,VT Sava Krško – Vrbina,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI1VT930,VT Sava mejni odsek,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI21332VT,VT Rinža,,UWWCMSA,A523,1,1,0,0,,,,,20010811,,60383
SICM-SI21602VT,VT Krupa,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI216VT,VT Lahinja,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI21VT50,VT Kolpa Petrina - Primostek,,UWWCMSA,A523,1,1,0,0,,,,,20070609,,60383
SICM-SI21VT70,VT Kolpa Primostek – Kamanje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI322VT3,VT Mislinja povirje – Slovenj Gradec,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI322VT7,VT Mislinja Slovenj Gradec – Otiški vrh,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI32VT11,VT Meža povirje – Črna na Koroškem,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI32VT30,VT Meža Črna na Koroškem – Dravograd,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI332VT1,VT Mutska Bistrica mejni odsek z Avstrijo,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI332VT3,VT Mutska Bistrica,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI35172VT,UVT Kanal HE Zlatoličje,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI364VT1,VT Ložnica povirje – Slovenska Bistrica,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI364VT7,VT Ložnica Slovenska Bistrica – Pečke,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI368VT5,VT Polskava povirje – Zgornja Polskava,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI368VT9,VT Polskava Zgornja Polskava – Tržec,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI36VT15,VT Dravinja povirje – Zreče,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI36VT90,VT Dravinja Zreče – Videm,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI378VT,UVT Kanal HE Formin,,UWW55CMSA,A523,1,1,0,0,,,,,20090822,,60383
SICM-SI38VT33,VT Pesnica državna meja – zadrževalnik Perniško jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
SICM-SI38VT34,MPVT zadrževalnik Perniško jezero,,UWWCMSA,A523,1,1,0,0,,,,,20010513,,60383
