rcaCode,rcaParameter,rcaDateDesignation,rcaStartDate,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,ReportNetEnvelopeFileId
SICM-SI1128VT,aN,20070609,20140609,,,20070609,60383
SICM-SI1128VT,aP,20070609,20140609,,,20070609,60383
SICM-SI112VT3,aN,20070609,20140609,,,,60383
SICM-SI112VT3,aP,20070609,20140609,,,,60383
SICM-SI112VT7,aN,20090822,20160822,,,,60383
SICM-SI112VT7,aP,20090822,20160822,,,,60383
SICM-SI112VT9,aN,20090822,20160822,,,,60383
SICM-SI112VT9,aP,20090822,20160822,,,,60383
SICM-SI114VT3,aN,20090822,20160822,,,,60383
SICM-SI114VT3,aP,20090822,20160822,,,,60383
SICM-SI114VT9,aN,20090822,20160822,,,,60383
SICM-SI114VT9,aP,20090822,20160822,,,,60383
SICM-SI116VT5,aN,20090822,20160822,,,,60383
SICM-SI116VT5,aP,20090822,20160822,,,,60383
SICM-SI116VT7,aN,20090822,20160822,,,,60383
SICM-SI116VT7,aP,20090822,20160822,,,,60383
SICM-SI121VT,aN,20090822,20160822,,,,60383
SICM-SI121VT,aP,20090822,20160822,,,,60383
SICM-SI122VT,aN,20090822,20160822,,,,60383
SICM-SI122VT,aP,20090822,20160822,,,,60383
SICM-SI123VT,aN,20090822,20160822,,,,60383
SICM-SI123VT,aP,20090822,20160822,,,,60383
SICM-SI1324VT,aN,20090822,20160822,,,,60383
SICM-SI1324VT,aP,20090822,20160822,,,,60383
SICM-SI1326VT,aN,20090822,20160822,,,,60383
SICM-SI1326VT,aP,20090822,20160822,,,,60383
SICM-SI132VT1,aN,20090822,20160822,,,,60383
SICM-SI132VT1,aP,20090822,20160822,,,,60383
SICM-SI132VT5,aN,20090822,20160822,,,,60383
SICM-SI132VT5,aP,20090822,20160822,,,,60383
SICM-SI132VT7,aN,20090822,20160822,,,,60383
SICM-SI132VT7,aP,20090822,20160822,,,,60383
SICM-SI14102VT,aN,20010513,20080513,,,,60383
SICM-SI14102VT,aP,20010513,20080513,,,,60383
SICM-SI141VT1,aN,20010513,20080513,,,,60383
SICM-SI141VT1,aP,20010513,20080513,,,,60383
SICM-SI141VT2,aN,20010513,20080513,,,,60383
SICM-SI141VT2,aP,20010513,20080513,,,,60383
SICM-SI143VT,aN,20010513,20080513,,,,60383
SICM-SI143VT,aP,20010513,20080513,,,,60383
SICM-SI144VT1,aN,20010513,20080513,,,,60383
SICM-SI144VT1,aP,20010513,20080513,,,,60383
SICM-SI144VT2,aN,20010513,20080513,,,,60383
SICM-SI144VT2,aP,20010513,20080513,,,,60383
SICM-SI145VT,aN,20010513,20080513,,,,60383
SICM-SI145VT,aP,20010513,20080513,,,,60383
SICM-SI146VT,aN,20010513,20080513,,,,60383
SICM-SI146VT,aP,20010513,20080513,,,,60383
SICM-SI1476VT,aN,20090822,20160822,,,,60383
SICM-SI1476VT,aP,20090822,20160822,,,,60383
SICM-SI148VT3,aN,20090822,20160822,,,,60383
SICM-SI148VT3,aP,20090822,20160822,,,,60383
SICM-SI148VT5,aN,20090822,20160822,,,,60383
SICM-SI148VT5,aP,20090822,20160822,,,,60383
SICM-SI14912VT,aN,20090822,20160822,,,,60383
SICM-SI14912VT,aP,20090822,20160822,,,,60383
SICM-SI14VT77,aN,20090822,20160822,,,,60383
SICM-SI14VT77,aP,20090822,20160822,,,,60383
SICM-SI14VT93,aN,20090822,20160822,,,,60383
SICM-SI14VT93,aP,20090822,20160822,,,,60383
SICM-SI14VT97,aN,20090822,20160822,,,,60383
SICM-SI14VT97,aP,20090822,20160822,,,,60383
SICM-SI1616VT,aN,20090822,20160822,,,,60383
SICM-SI1616VT,aP,20090822,20160822,,,,60383
SICM-SI1624VT,aN,20090822,20160822,,,,60383
SICM-SI1624VT,aP,20090822,20160822,,,,60383
SICM-SI162VT3,aN,20090822,20160822,,,,60383
SICM-SI162VT3,aP,20090822,20160822,,,,60383
SICM-SI162VT7,aN,20090822,20160822,,,,60383
SICM-SI162VT7,aP,20090822,20160822,,,,60383
SICM-SI162VT9,aN,20090822,20160822,,,,60383
SICM-SI162VT9,aP,20090822,20160822,,,,60383
SICM-SI164VT3,aN,20090822,20160822,,,,60383
SICM-SI164VT3,aP,20090822,20160822,,,,60383
SICM-SI164VT7,aN,20090822,20160822,,,,60383
SICM-SI164VT7,aP,20090822,20160822,,,,60383
SICM-SI1668VT,aN,20070609,20140609,,,,60383
SICM-SI1668VT,aP,20070609,20140609,,,,60383
SICM-SI1688VT1,aN,20090822,20160822,,,,60383
SICM-SI1688VT1,aP,20090822,20160822,,,,60383
SICM-SI1688VT2,aN,20090822,20160822,,,,60383
SICM-SI1688VT2,aP,20090822,20160822,,,,60383
SICM-SI168VT3,aN,20070609,20140609,,,,60383
SICM-SI168VT3,aP,20070609,20140609,,,,60383
SICM-SI168VT9,aN,20090822,20160822,,,,60383
SICM-SI168VT9,aP,20090822,20160822,,,,60383
SICM-SI1696VT,aN,20090822,20160822,,,,60383
SICM-SI1696VT,aP,20090822,20160822,,,,60383
SICM-SI16VT17,aN,20090822,20160822,,,,60383
SICM-SI16VT17,aP,20090822,20160822,,,,60383
SICM-SI16VT70,aN,20090822,20160822,,,,60383
SICM-SI16VT70,aP,20090822,20160822,,,,60383
SICM-SI16VT97,aN,20090822,20160822,,,,60383
SICM-SI16VT97,aP,20090822,20160822,,,,60383
SICM-SI172VT,aN,20090822,20160822,,,,60383
SICM-SI172VT,aP,20090822,20160822,,,,60383
SICM-SI184VT1,aN,20010513,20080513,,,,60383
SICM-SI184VT1,aP,20010513,20080513,,,,60383
SICM-SI184VT2,aN,20010513,20080513,,,,60383
SICM-SI184VT2,aP,20010513,20080513,,,,60383
SICM-SI186VT3,aN,20010513,20080513,,,,60383
SICM-SI186VT3,aP,20010513,20080513,,,,60383
SICM-SI186VT5,aN,20010513,20080513,,,,60383
SICM-SI186VT5,aP,20010513,20080513,,,,60383
SICM-SI186VT7,aN,20010513,20080513,,,,60383
SICM-SI186VT7,aP,20010513,20080513,,,,60383
SICM-SI188VT5,aN,20010513,20080513,,,,60383
SICM-SI188VT5,aP,20010513,20080513,,,,60383
SICM-SI188VT7,aN,20010513,20080513,,,,60383
SICM-SI188VT7,aP,20010513,20080513,,,,60383
SICM-SI18VT31,aN,20070609,20140609,,,,60383
SICM-SI18VT31,aP,20070609,20140609,,,,60383
SICM-SI18VT77,aN,20070609,20140609,,,,60383
SICM-SI18VT77,aP,20070609,20140609,,,,60383
SICM-SI18VT97,aN,20010513,20080513,,,,60383
SICM-SI18VT97,aP,20010513,20080513,,,,60383
SICM-SI1922VT,aN,20090822,20160822,,,,60383
SICM-SI1922VT,aP,20090822,20160822,,,,60383
SICM-SI1924VT1,aN,20090822,20160822,,,,60383
