rptMStateKey,aucUwwCode,aucUwwName,aggID,aucAggCode,aucAggName,aucPercEnteringUWWTP,aucMethodPercEnteringUWWTP,aucPercC2T,ReportNetEnvelopeFileId
IT,IT03Q13000000311,,,IT03160121000208,,1.06,C,,60321
IT,IT03Q13000000312,,,IT03160121000208,,3.48,C,,60321
IT,IT03Q13000000313,,,IT03160121000208,,0.11,C,,60321
IT,IT03Q13000000314,,,IT03160121000208,,0.42,C,,60321
IT,IT03Q13000000315,,,IT03160121000208,,0.42,C,,60321
IT,IT03Q13000000316,,,IT03160121000208,,0.42,C,,60321
IT,IT03Q13000000317,,,IT03160121000208,,0.42,C,,60321
IT,IT03Q13000000318,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000319,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000320,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000321,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000322,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000323,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000324,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000325,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000326,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000327,,,IT03160121000208,,0.71,C,,60321
IT,IT03Q13000000328,,,IT03160121000208,,0.26,C,,60321
IT,IT03Q13000000329,,,IT03160121000208,,0.26,C,,60321
IT,IT03Q13000000330,,,IT03160121000208,,0.26,C,,60321
IT,IT03Q13000000331,,,IT03160121000208,,0.26,C,,60321
IT,IT03Q13000000332,,,IT03160121000208,,0.26,C,,60321
IT,IT03Q13000000333,,,IT03160121000208,,0.31,C,,60321
IT,IT03Q13000000334,,,IT03160121000208,,0.25,C,,60321
IT,IT03Q13000000335,,,IT03160121000208,,2.06,C,,60321
IT,IT03Q13000000336,,,IT03160121000208,,2.13,C,,60321
IT,IT03Q13000000337,,,IT03160121000208,,2.06,C,,60321
IT,IT03Q11000000319,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000320,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000321,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000322,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000323,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000324,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000325,,,IT03160121000208,,1.41,C,,60321
IT,IT03Q11000000327,,,IT03160121000208,,0.25,C,,60321
IT,IT03Q11000000328,,,IT03160121000208,,0.35,C,,60321
